id,ELA,dELA,summit,debris_cov,morph_type,orientation,length,area,P_01_mean,P_02_mean,P_03_mean,P_04_mean,P_05mean,P_06_mean,P_07_mean,P_08_mean,P_09_mean,P_10_mean,P_11_mean,P_12_mean,P_snow,P_year,P_monsoon,P_not_monsoon,T_MIN_mean.1,T_MIN_mean.2,T_MIN_mean.3,T_MIN_mean.4,T_MIN_mean.5,T_MIN_mean.6,T_MIN_mean.7,T_MIN_mean.8,T_MIN_mean.9,T_MIN_mean.10,T_MIN_mean.11,T_MIN_mean.12,T_MIN_mean_monsoon,T_MIN_mean_not_monsoon,T_MAX_mean.1,T_MAX_mean.2,T_MAX_mean.3,T_MAX_mean.4,T_MAX_mean.5,T_MAX_mean.6,T_MAX_mean.7,T_MAX_mean.8,T_MAX_mean.9,T_MAX_mean.10,T_MAX_mean.11,T_MAX_mean.12,T_MAX_mean_monsoon,T_MAX_mean_not_monsoon,T_mean_mea.1,T_mean_mea.2,T_mean_mea.3,T_mean_mea.4,T_mean_mea.5,T_mean_mea.6,T_mean_mea.7,T_mean_mea.8,T_mean_mea.9,T_mean_mea.10,T_mean_mea.11,T_mean_mea.12,T_mean_mea.yr,T_mean_monsoon,T_mean_not_monsoon,Slope_min,Slope_max,Slope_mean,Elev_min,Elev_max,Elev_mean
11,5185,25,5485,0,2,NW,4562.554936,1164862.832,4.615894,14.331126,37.390728,56.311258,90.556291,172.033113,146.417219,130.384106,131.788079,72.503311,14.218543,4.675497,75.231788,875.225165,671.178808,204.046357,-17.4826482,-15.5122853,-12.2172004,-8.8070377,-4.1618733,0.9876842,3.2987415,2.8426531,0.0829156,-5.9727067,-12.3184228,-16.3635865,0.61002422,-12.66769823,-6.8960168,-5.5640903,-2.9714708,0.1428271,4.4135011,7.722858,9.7235138,9.459796,6.7328655,1.3208857,-2.9774453,-5.5946192,7.61050688,-3.219989943,-12.1801325,-10.5695364,-7.5980132,-4.3403974,0.1218543,4.3821192,6.5092715,6.1721854,3.4099338,-2.3178808,-7.6761589,-10.9761589,-2.9219093,4.11907284,-7.951182586,6.967724,49.485561,22.022678,4956,5446,5184.45
12,5130,42,5535,0,3,N,5896.683266,1029605.52,3,10.175573,26.778626,41.251908,66.175573,127.099237,109.061069,98.587786,96.80916,52.671756,10.152672,3,53.106871,644.76336,497.732825,147.030535,-17.2011421,-15.2327499,-11.9394248,-8.5353568,-3.9106926,1.2279534,3.5320096,3.0811441,0.3331266,-5.7053666,-12.0485113,-16.0739027,0.85270822,-12.39092203,-6.6441652,-5.3137516,-2.7081703,0.4056044,4.6427432,7.9371183,9.9344861,9.6774697,6.957887,1.5620277,-2.7252233,-5.3344436,7.82994086,-2.965445986,-11.9007634,-10.2984733,-7.3175573,-4.0885496,0.3755725,4.5977099,6.740458,6.3992366,3.6435115,-2.0992366,-7.3984733,-10.6992366,-2.6704836,4.3512977,-7.686041443,9.050294,45.591526,29.092487,4769,5453,5198.462069
13,5295,130,5485,0,3,S,1817.052555,126316.3463,5,14.9375,39.125,58.9375,94.5625,178.75,151.5,134.8125,136.5,75.8125,14.625,5,137.625,909.5625,696.125,213.4375,-17.6881973,-15.7345001,-12.4613823,-9.0582893,-4.3885731,0.7733907,3.0772783,2.6163698,-0.1355781,-6.1846882,-12.5354721,-16.5746933,0.38857752,-12.8910318,-7.1144875,-5.800444,-3.2288979,-0.1180682,4.1802017,7.5011841,9.4927299,9.2248055,6.507962,1.1035911,-3.2048828,-5.8193794,7.38137664,-3.454652671,-12.3625,-10.7625,-7.85,-4.5625,-0.08125,4.15,6.25,5.95,3.15,-2.55,-7.8625,-11.1625,-3.1411459,3.88375,-8.158928571,9.742453,40.551697,31.265094,5186,5471,5326.235294
14,5298,78,5430,0,2,E,2408.254132,293504.8665,5,15,40,59.941176,95.147059,177.882353,150.264706,133.264706,135.882353,75.941176,15,5,139.941176,908.323529,692.441177,215.882352,-17.883351,-15.9316449,-12.677236,-9.2676664,-4.593932,0.5873598,2.8917734,2.4271671,-0.3311305,-6.3825389,-12.7366541,-16.7797923,0.19624756,-13.09412623,-7.3064044,-5.9948677,-3.4452439,-0.3281742,3.9780342,7.3190803,9.3097175,9.0379294,6.3164386,0.9103586,-3.4049219,-6.0215519,7.19224,-3.655829343,-12.6029412,-10.9529412,-8.0970588,-4.8029412,-0.3029412,3.9823529,6.0823529,5.7558824,2.9823529,-2.7176471,-8.1029412,-11.4029412,-3.3482846,3.69999998,-8.382773129,5.861764,28.994284,19.542616,5229,5428,5330.275
15,5560,132,5830,0,2,NW,2530.405861,306604.2334,4,12.707317,33.04878,50.780488,84.634146,155.243902,131.073171,116.756098,120,62.829268,12.195122,4.390244,179.951219,787.658536,607.707317,179.951219,-18.7730802,-16.8765577,-13.7213689,-10.3558903,-5.6271895,-0.3535046,1.9448978,1.4829675,-1.2621707,-7.3009581,-13.7061845,-17.6642257,-0.7629999,-14.05689506,-8.2240532,-6.9546857,-4.4286481,-1.3611534,2.8840671,6.3028934,8.3318056,8.0642727,5.3049626,-0.1023099,-4.3607455,-6.9315626,6.17760028,-4.623308343,-13.497561,-11.9121951,-9.0902439,-5.8390244,-1.3756098,2.9585366,5.1365854,4.7585366,2.0243902,-3.697561,-9.0317073,-12.3292683,-4.3245936,2.7004878,-9.342508714,5.821887,46.692997,30.609597,5350,5740,5574.102564
16,5212,122,5480,0,3,W,2255.572021,221644.0558,4,13.333333,34.375,52.291667,84.541667,163.333333,139.458333,124.708333,124.958333,67.75,12.541667,4,68.25,825.291666,636.999999,188.291667,-17.3413249,-15.3717906,-12.0829773,-8.6775594,-4.0372709,1.1073277,3.4139732,2.9586062,0.2018861,-5.8373795,-12.1813639,-16.218397,0.72890446,-12.53011323,-6.7708293,-5.4403107,-2.8493238,0.2639586,4.5280136,7.8308029,9.8268901,9.5646769,6.8409454,1.4456904,-2.8516416,-5.4659312,7.71826578,-3.095483943,-12.0166667,-10.4166667,-7.4791667,-4.1791667,0.225,4.4833333,6.5916667,6.2833333,3.5,-2.2166667,-7.5166667,-10.8166667,-2.7965281,4.21666666,-7.805952414,25.174595,38.824261,30.265269,5080,5288,5181.133333
17,5378,140,5560,0,3,NE,2038.19863,159773.8288,4.842105,15.842105,41.052632,60.368421,93.789474,171.578947,145.105263,126.842105,131.736842,75.263158,15.473684,5,142.578947,886.894736,669.052631,217.842105,-18.1133648,-16.1665296,-12.9002698,-9.4956106,-4.7930349,0.3911529,2.6938573,2.2279914,-0.5505969,-6.6036814,-12.9587839,-17.0164075,-0.00612604,-13.32209251,-7.5224963,-6.2227301,-3.6899706,-0.5751075,3.7990787,7.1488744,9.1222566,8.8483745,6.1253444,0.7252617,-3.6293078,-6.2491571,7.00878572,-3.8805011,-12.8105263,-11.1736842,-8.2736842,-5.0421053,-0.4736842,3.7894737,5.9157895,5.5263158,2.7894737,-2.9631579,-8.2736842,-11.6631579,-3.5543862,3.5094737,-8.6,5.342016,38.491333,25.528175,5296,5456,5395.380952
18,5065,110,5320,0,2,N,4444.354009,673047.3426,3.761905,11.72619,30.52381,46.511905,75.440476,148.738095,127.857143,115.27381,113.107143,61.190476,11.119048,3.761905,60.892858,749.011906,580.416667,168.595239,-16.9800386,-15.000758,-11.6893903,-8.2854289,-3.6757644,1.4507996,3.7562982,3.3037284,0.5550993,-5.4840204,-11.8142415,-15.8493652,1.07803222,-12.15760613,-6.4194202,-5.0792684,-2.4618519,0.6520477,4.8827834,8.1663621,10.1618676,9.9029471,7.1866397,1.7914802,-2.4909046,-5.1068627,8.06011998,-2.730682843,-11.6630952,-10.0619048,-7.0690476,-3.7940476,0.6119048,4.8369048,6.9369048,6.6214286,3.8380952,-1.8630952,-7.1630952,-10.4630952,-2.4360119,4.56904764,-7.439625829,9.983084,40.261963,20.932011,4916,5292,5069.870968
19,5095,60,5555,0,4,E,12320.15135,2779112.019,3.436464,11.618785,30.353591,47.392265,75.732044,147.251381,126.077348,113.856354,112.635359,61.052486,11.30663,3.436464,60.151934,744.149171,575.552486,168.596685,-17.280363,-15.3195302,-12.0445938,-8.6487877,-4.0159644,1.1295552,3.434024,2.9812014,0.2303805,-5.7955127,-12.1372486,-16.1542645,0.75183934,-12.48290007,-6.7516769,-5.4315996,-2.8424589,0.2709846,4.5231248,7.8225974,9.8160523,9.5585171,6.8412476,1.4604423,-2.8366626,-5.4446564,7.71230784,-3.0822325,-12.0024862,-10.3759669,-7.4218232,-4.2127072,0.2549724,4.4911602,6.6146409,6.2870166,3.5174033,-2.1889503,-7.4997238,-10.8024862,-2.7782459,4.23303868,-7.786306257,0.358942,51.630863,20.958419,4703,5529,5130.696335
20,5218,46,5305,0,3,SE,1004.343967,63128.22213,4,12.25,32.5,50,81.5,158.75,135.5,122.25,121.5,65.75,11.75,4,64.5,799.75,619.5,180.25,-17.0505463,-15.078537,-11.7709213,-8.372023,-3.7562603,1.376823,3.681675,3.2284523,0.480412,-5.558115,-11.8881721,-15.922319,1.0022204,-12.23437624,-6.4983475,-5.1665916,-2.5535891,0.5578673,4.7986652,8.0884621,10.0812393,9.8220802,7.1088211,1.7153454,-2.572184,-5.1888889,7.97985358,-2.815198343,-11.7,-10.1,-7.1,-3.9,0.5,4.8,6.9,6.5,3.8,-1.9,-7.2,-10.5,-2.4916666,4.5,-7.485714286,11.800545,27.194435,21.788899,5153,5298,5215.7
21,5175,47,5475,0,1,NW,5249.372583,1007603.805,4,13.775194,36.372093,53.496124,83.209302,153.434109,129.209302,113.821705,117.317829,66.488372,13.348837,4.465116,125.457364,788.937983,596.992247,191.945736,-17.5988251,-15.6336785,-12.3569063,-8.9470915,-4.2864557,0.8692324,3.1717938,2.7156572,-0.0469753,-6.0920225,-12.4406886,-16.4839829,0.48465048,-12.79331363,-7.0286398,-5.7065138,-3.1420732,-0.0210535,4.2860022,7.6024679,9.5851101,9.3220855,6.6035853,1.2069569,-3.1182006,-5.734358,7.4798502,-3.363411714,-12.3007752,-10.6457364,-7.7697674,-4.4697674,-0.0255814,4.2193798,6.3984496,6.0193798,3.2713178,-2.4457364,-7.7953488,-11.1007752,-3.0537465,3.97658912,-8.075415257,2.67349,43.981426,20.477255,4917,5490,5243.241135
22,5392,92,5750,0,3,NE,4257.216707,783149.8026,4.010309,12.474227,31.587629,49.597938,80.958763,148.762887,126.969072,115.546392,114.525773,59.298969,11.639175,4,113.309278,759.371134,586.762887,172.608247,-18.2057808,-16.2861701,-13.1024364,-9.7487818,-5.058256,0.1745266,2.4722425,2.0269156,-0.7111751,-6.7431142,-13.1383558,-17.0837407,-0.21914928,-13.47262569,-7.66697,-6.3742087,-3.8086441,-0.7514932,3.4400204,6.8156663,8.8492993,8.5988926,5.8406477,0.4392429,-3.7964169,-6.3625886,6.70890526,-4.045868371,-12.9360825,-11.328866,-8.4938144,-5.2670103,-0.8072165,3.4773196,5.6639175,5.3072165,2.5639175,-3.1360825,-8.4927835,-11.7360825,-3.7654639,3.24103092,-8.7701031,6.306764,45.696842,21.450509,5158,5757,5392.495413
23,5252,77,5475,0,3,N,3208.419913,598520.6065,4,14.102564,36.448718,54.24359,84.948718,157.935897,132.871795,116.217949,120.730769,68.410256,13.179487,4.282051,126.25641,807.371794,612.705128,194.666666,-17.7765262,-15.8275967,-12.5555864,-9.1488206,-4.4735305,0.6876225,2.9931177,2.5282056,-0.2335548,-6.2758313,-12.621895,-16.6693021,0.3003721,-12.98222261,-7.2113757,-5.90704,-3.3509578,-0.2306668,4.0981962,7.4205203,9.402822,9.1312563,6.4175462,1.0254659,-3.3052756,-5.925805,7.2940682,-3.557950714,-12.4653846,-10.8461538,-7.9730769,-4.675641,-0.1897436,4.0423077,6.2333333,5.8538462,3.0538462,-2.6461538,-7.9564103,-11.2653846,-3.2362179,3.79871796,-8.261172143,1.395059,37.643539,22.818179,5109,5477,5282.308642
24,5360,68,5770,0,2,SW,5040.919492,419000.3884,4.444444,14.685185,37.944444,58.37037,94.444444,179.574074,151.944444,136.592593,137.222222,73.759259,13.777778,4.481481,133.703702,907.240738,699.777777,207.462961,-17.8319408,-15.9058793,-12.6969546,-9.3159261,-4.6396087,0.5496446,2.8431017,2.3899939,-0.3498877,-6.3729103,-12.7239366,-16.7152434,0.15864876,-13.08039873,-7.334691,-6.0483376,-3.5040909,-0.4003318,3.8727186,7.2106224,9.2006149,8.9444815,6.2294158,0.8489334,-3.439761,-6.0367056,7.09157064,-3.702140643,-12.5796296,-10.9740741,-8.1240741,-4.837037,-0.3796296,3.9092593,6.0111111,5.7074074,2.9203704,-2.7796296,-8.0796296,-11.3796296,-3.3820986,3.63370372,-8.393386229,12.627444,50.320122,27.823163,5089,5649,5336.578947
25,5135,35,5560,0,2,NW,9679.745214,3852170.308,4.878728,15.890656,42.089463,62.341948,97.003976,179.085487,150.805169,132.363817,137.075547,77.59841,15.341948,5,145.542743,919.475149,696.333996,223.141153,-17.6917573,-15.7428243,-12.4868228,-9.083791,-4.412594,0.7477232,3.0469989,2.5859938,-0.17005,-6.2044572,-12.5438168,-16.5816973,0.35961438,-12.90502381,-7.1523391,-5.8488988,-3.30191,-0.1793568,4.1434335,7.4623664,9.4377959,9.1714797,6.4642124,1.0809244,-3.2451424,-5.8644702,7.33585758,-3.501598986,-12.405169,-10.7902584,-7.904175,-4.6300199,-0.1250497,4.1033797,6.2383698,5.894831,3.139165,-2.5785288,-7.895825,-11.2075547,-3.1800694,3.85013916,-8.201647257,3.354867,46.314327,15.660483,4814,5539,5211.541825
26,5260,38,5470,0,1,NW,2838.952117,374874.613,4.479167,15.5625,41.625,61.541667,93.979167,172.625,145.375,127.0625,132.458333,76.041667,15.395833,5,143.604167,891.145834,671.5,219.645834,-17.9562134,-16.0090739,-12.7629496,-9.354484,-4.6663818,0.5150593,2.8036842,2.3400742,-0.4281088,-6.4681834,-12.8039663,-16.8598612,0.11286542,-13.17353311,-7.4053975,-6.1094142,-3.5965225,-0.4661631,3.9058172,7.2507909,9.2024404,8.9328603,6.2293335,0.847635,-3.5070435,-6.1358409,7.10424846,-3.767535243,-12.6895833,-11.075,-8.1895833,-4.8895833,-0.3875,3.8791667,6.0041667,5.6125,2.9041667,-2.7958333,-8.1729167,-11.4958333,-3.4413193,3.60250002,-8.472619029,1.440461,29.791542,18.140094,5175,5432,5292.061224
27,5298,46,5470,0,2,SE,6905.852786,892484.217,5,17,45.161017,66.830508,102.135593,185.771186,154.923729,134.771186,142.09322,81.838983,16,5,154.991525,956.525422,719.694914,236.830508,-17.8358167,-15.8860865,-12.6502748,-9.2454913,-4.5602969,0.6055105,2.9007064,2.4360989,-0.3249089,-6.3579097,-12.6856694,-16.7340026,0.211422,-13.05646443,-7.3125083,-6.0144937,-3.5039158,-0.3710646,3.9950394,7.3214778,9.2793076,9.0102506,6.3142446,0.9405246,-3.4074103,-6.0377342,7.184064,-3.672371757,-12.5822034,-10.9432203,-8.0966102,-4.8025424,-0.2822034,3.9542373,6.0898305,5.7177966,2.9974576,-2.7025424,-8.0432203,-11.4025424,-3.3413136,3.69542372,-8.367554486,5.584074,25.144524,15.449196,5149,5433,5289
28,5215,80,5560,0,1,N,12065.82847,5477756.877,4.666667,15.730226,41.413842,61.669492,95.306497,174.562147,145.940678,127.241525,133.368644,76.569209,15.108757,4.867232,143.456216,896.444916,676.419491,220.025425,-17.7128586,-15.7601364,-12.4987542,-9.0901737,-4.4189037,0.7420123,3.0375375,2.5758579,-0.1869634,-6.22179,-12.5557071,-16.6068348,0.34990812,-12.92089354,-7.167534,-5.8635417,-3.3250502,-0.1954495,4.1462493,7.4685613,9.4325719,9.1652432,6.4604393,1.0808766,-3.2585474,-5.8862498,7.334613,-3.516499429,-12.4413842,-10.789548,-7.9107345,-4.6497175,-0.1299435,4.1101695,6.2283898,5.8782486,3.1201977,-2.5798023,-7.9019774,-11.2624294,-3.1940443,3.84141242,-8.219370471,2.462206,34.764893,15.245361,4975,5559,5237.906579
29,5375,187,5550,0,2,W,2793.481759,170393.1319,5,16,42.736842,63.684211,99.263158,183.736842,154.842105,135.947368,140.947368,79.421053,15.947368,5,148.368421,942.526315,714.736841,227.789474,-18.0171438,-16.0826545,-12.8666311,-9.4775243,-4.7816731,0.4074187,2.7001298,2.2358504,-0.5116435,-6.5446418,-12.8860853,-16.9097476,0.01001646,-13.25491834,-7.5024414,-6.214358,-3.7005207,-0.5861267,3.7592092,7.1043945,9.0727192,8.8044613,6.1063483,0.7253273,-3.6045555,-6.217731,6.9694265,-3.871486571,-12.7684211,-11.1263158,-8.3157895,-5.0157895,-0.5157895,3.7684211,5.8684211,5.5315789,2.7842105,-2.9157895,-8.2263158,-11.5684211,-3.5416665,3.48736842,-8.562406043,4.486806,39.275356,16.855871,5188,5534,5412.428571
30,5205,185,5640,0,2,SE,5997.422497,1298982.221,3.56213,12.319527,32.550296,50.230769,79.147929,150.254438,127.449704,114.295858,114.881657,62.846154,12.059172,3.650888,64.142013,763.248522,586.029586,177.218936,-17.3733994,-15.4262655,-12.1755709,-8.7803301,-4.1373931,1.013777,3.3107763,2.8610935,0.11567,-5.9116055,-12.2378906,-16.260006,0.63278474,-12.59500971,-6.8678902,-5.5637493,-2.997098,0.1222587,4.3898513,7.6934472,9.6759465,9.4227845,6.7150379,1.3349742,-2.9557112,-5.5748544,7.57941348,-3.214581457,-12.1266272,-10.4863905,-7.5881657,-4.3372781,0.1224852,4.3532544,6.4739645,6.1461538,3.412426,-2.2863905,-7.5869822,-10.9254438,-2.9024163,4.10165678,-7.905325429,3.417984,46.512218,19.185008,4888,5616,5191.39011
