earn,height,sex,race,hisp,ed,age,age.category,eth,male,log.earn
21000,70,1,1,2,17,41,2,3,1,9.95227771670556
34000,68,2,1,2,17,49,2,3,0,10.4341158035983
17000,71,1,1,2,12,28,1,3,1,9.74096862303835
35000,71,1,1,2,12,32,1,3,1,10.4631033404715
4000,73,1,1,2,13,18,1,3,1,8.29404964010203
14000,68,2,1,2,14,55,3,3,0,9.5468126085974
10000,66,2,1,2,12,57,3,3,0,9.21034037197618
25000,69,1,1,2,16,29,1,3,1,10.1266311038503
16000,63,2,1,2,14,27,1,3,0,9.68034400122192
16000,62,1,1,1,14,28,1,2,1,9.68034400122192
16500,64,2,1,2,14,43,2,3,0,9.71111565988867
3840,67,2,1,2,9,52,3,3,0,8.25322764558177
22000,71,1,1,2,12,39,2,3,1,9.99879773234045
200,60,2,1,2,16,53,3,3,0,5.29831736654804
26000,66,2,1,2,16,27,1,3,0,10.1658518170036
2500,66,2,1,2,15,21,1,3,0,7.82404601085629
17000,65,2,1,2,14,39,2,3,0,9.74096862303835
8000,70,2,1,2,13,22,1,3,0,8.98719682066197
10000,62,2,1,2,12,47,2,3,0,9.21034037197618
15000,72,1,1,2,12,39,2,3,1,9.61580548008435
2400,67,2,1,1,8,39,2,2,0,7.78322401633604
30000,68,1,1,1,12,32,1,2,1,10.3089526606443
30000,70,1,1,2,12,33,1,3,1,10.3089526606443
10000,62,2,1,2,12,38,2,3,0,9.21034037197618
5000,63,2,1,2,13,26,1,3,0,8.51719319141624
12000,66,2,1,2,13,63,3,3,0,9.39266192877014
20000,70,2,1,2,10,61,3,3,0,9.90348755253613
20000,68,2,1,2,12,36,2,3,0,9.90348755253613
20000,70,1,1,2,14,23,1,3,1,9.90348755253613
1200,66,2,1,2,12,20,1,3,0,7.09007683577609
700,68,2,1,2,16,32,1,3,0,6.5510803350434
20000,70,1,1,2,16,27,1,3,1,9.90348755253613
10000,61,2,1,1,12,22,1,2,0,9.21034037197618
40000,64,2,1,2,14,56,3,3,0,10.5966347330961
60000,69,2,1,2,18,63,3,3,0,11.0020998412042
16040,64,2,1,2,12,33,1,3,0,9.68284088142051
15000,67,2,2,2,14,30,1,1,0,9.61580548008435
10000,69,1,1,2,17,23,1,3,1,9.21034037197618
33000,67,2,1,2,13,43,2,3,0,10.4042628404486
18000,68,2,1,2,12,30,1,3,0,9.7981270368783
15000,63,2,1,2,12,37,2,3,0,9.61580548008435
21000,71,1,1,2,12,22,1,3,1,9.95227771670556
21000,64,2,2,2,17,43,2,1,0,9.95227771670556
37000,68,1,1,2,11,37,2,3,1,10.5186731916264
38000,68,2,1,2,17,44,2,3,0,10.5453414387085
17000,66,2,1,1,14,43,2,2,0,9.74096862303835
32000,77,1,1,2,16,30,1,3,1,10.3734911817819
27500,67,2,1,2,12,58,3,3,0,10.2219412836547
16500,62,2,1,2,12,44,2,3,0,9.71111565988867
25000,67,2,1,2,18,35,2,3,0,10.1266311038503
27000,61,2,1,2,18,43,2,3,0,10.2035921449865
5000,64,2,1,2,12,28,1,3,0,8.51719319141624
70000,62,2,1,2,16,38,2,3,0,11.1562505210315
5000,63,2,1,2,12,40,2,3,0,8.51719319141624
5000,68,1,1,2,16,24,1,3,1,8.51719319141624
20000,64,2,1,2,15,26,1,3,0,9.90348755253613
4000,72,1,1,2,15,21,1,3,1,8.29404964010203
60000,64,2,1,2,16,35,2,3,0,11.0020998412042
5000,61,2,1,2,13,31,1,3,0,8.51719319141624
30000,74,1,1,2,12,38,2,3,1,10.3089526606443
70000,70,1,1,2,14,35,2,3,1,11.1562505210315
50000,71,1,1,2,16,41,2,3,1,10.8197782844103
44000,63,2,1,2,12,39,2,3,0,10.6919449129004
30000,64,2,1,2,14,43,2,3,0,10.3089526606443
10000,62,2,1,2,16,40,2,3,0,9.21034037197618
23000,70,2,1,2,17,42,2,3,0,10.0432494949113
45000,71,1,1,2,17,62,3,3,1,10.7144177687525
15000,71,1,1,2,14,31,1,3,1,9.61580548008435
17000,67,1,1,2,14,31,1,3,1,9.74096862303835
30000,64,2,1,2,12,32,1,3,0,10.3089526606443
27500,67,2,1,2,12,30,1,3,0,10.2219412836547
18000,62,2,1,1,13,56,3,2,0,9.7981270368783
43000,68,1,2,2,13,44,2,1,1,10.6689553946757
32000,62,2,2,2,14,44,2,1,0,10.3734911817819
10000,68,2,2,2,18,56,3,1,0,9.21034037197618
60000,74,1,1,2,13,45,2,3,1,11.0020998412042
21000,68,2,4,2,12,50,3,4,0,9.95227771670556
2400,62,2,1,2,16,22,1,3,0,7.78322401633604
1000,66,2,1,2,15,28,1,3,0,6.90775527898214
27000,68,1,1,2,12,27,1,3,1,10.2035921449865
6600,60,2,1,1,14,28,1,2,0,8.79482492801452
16000,68,1,1,2,8,43,2,3,1,9.68034400122192
90000,72,1,1,2,12,26,1,3,1,11.4075649493124
8000,66,2,1,2,12,42,2,3,0,8.98719682066197
20000,68,1,1,2,10,32,1,3,1,9.90348755253613
15000,68,2,1,2,12,18,1,3,0,9.61580548008435
12000,69,2,1,2,12,60,3,3,0,9.39266192877014
24000,64,2,1,2,16,46,2,3,0,10.0858091093301
20000,65,2,1,2,14,39,2,3,0,9.90348755253613
19000,61,2,1,2,12,46,2,3,0,9.85219425814858
10000,72,1,1,2,12,49,2,3,1,9.21034037197618
40000,66,2,1,2,16,34,1,3,0,10.5966347330961
25000,68,1,1,2,14,64,3,3,1,10.1266311038503
25000,70,1,1,2,12,24,1,3,1,10.1266311038503
25000,71,1,1,2,14,32,1,3,1,10.1266311038503
19000,71,1,1,2,16,61,3,3,1,9.85219425814858
44000,68,1,1,2,16,48,2,3,1,10.6919449129004
15000,60,2,1,2,14,49,2,3,0,9.61580548008435
17000,63,2,1,2,12,36,2,3,0,9.74096862303835
24000,68,1,1,2,12,56,3,3,1,10.0858091093301
23000,64,2,1,2,12,37,2,3,0,10.0432494949113
65000,68,1,1,2,16,46,2,3,1,11.0821425488778
7000,61,2,1,2,12,63,3,3,0,8.85366542803745
40000,68,1,1,2,18,63,3,3,1,10.5966347330961
15000,66,2,1,2,17,43,2,3,0,9.61580548008435
20000,70,1,1,2,16,25,1,3,1,9.90348755253613
20000,71,1,1,2,12,50,3,3,1,9.90348755253613
20000,65,2,1,2,12,42,2,3,0,9.90348755253613
25000,66,2,1,2,12,49,2,3,0,10.1266311038503
49000,70,1,1,2,13,37,2,3,1,10.7995755770928
11000,66,2,1,2,14,57,3,3,0,9.30565055178051
16000,61,2,1,2,15,38,2,3,0,9.68034400122192
35000,72,1,1,2,14,43,2,3,1,10.4631033404715
125000,74,1,1,2,18,45,2,3,1,11.7360690162844
23000,67,2,1,2,12,47,2,3,0,10.0432494949113
17000,66,2,1,2,16,28,1,3,0,9.74096862303835
27000,62,2,1,2,12,41,2,3,0,10.2035921449865
70000,72,1,1,2,14,32,1,3,1,11.1562505210315
35000,65,2,1,2,15,47,2,3,0,10.4631033404715
10000,60,2,1,2,12,62,3,3,0,9.21034037197618
35000,62,2,1,2,15,39,2,3,0,10.4631033404715
15000,66,2,1,2,12,38,2,3,0,9.61580548008435
12000,64,2,1,2,12,39,2,3,0,9.39266192877014
8000,65,2,1,2,12,50,3,3,0,8.98719682066197
35000,73,1,1,2,18,50,3,3,1,10.4631033404715
45000,69,1,1,2,11,51,3,3,1,10.7144177687525
15000,64,2,1,2,14,22,1,3,0,9.61580548008435
24000,67,2,1,2,18,51,3,3,0,10.0858091093301
25000,62,2,1,2,13,32,1,3,0,10.1266311038503
25000,63,2,2,2,14,54,3,1,0,10.1266311038503
20000,67,1,3,2,10,28,1,4,1,9.90348755253613
24000,68,2,1,2,12,24,1,3,0,10.0858091093301
44000,72,1,1,2,16,46,2,3,1,10.6919449129004
69000,70,1,1,2,12,38,2,3,1,11.1418617835794
62000,70,1,1,2,18,44,2,3,1,11.0348896640272
32000,67,1,2,2,14,32,1,1,1,10.3734911817819
20000,63,2,2,2,12,33,1,1,0,9.90348755253613
32000,66,2,3,2,18,35,2,4,0,10.3734911817819
25000,66,2,1,2,17,50,3,3,0,10.1266311038503
170000,71,1,1,2,18,45,2,3,1,12.0435537160324
35000,67,1,1,2,16,33,1,3,1,10.4631033404715
40000,76,1,2,2,16,38,2,1,1,10.5966347330961
33000,69,1,1,2,14,30,1,3,1,10.4042628404486
18000,65,2,1,2,12,22,1,3,0,9.7981270368783
30000,62,2,1,2,13,43,2,3,0,10.3089526606443
26000,62,2,1,2,12,31,1,3,0,10.1658518170036
5000,62,2,1,2,12,21,1,3,0,8.51719319141624
17000,61,2,1,2,12,30,1,3,0,9.74096862303835
32000,65,2,1,2,14,28,1,3,0,10.3734911817819
15000,72,1,1,2,14,22,1,3,1,9.61580548008435
50000,72,1,1,2,14,55,3,3,1,10.8197782844103
8000,64,2,1,2,12,39,2,3,0,8.98719682066197
40000,71,1,1,2,14,51,3,3,1,10.5966347330961
40000,72,1,1,2,15,41,2,3,1,10.5966347330961
32750,66,1,1,2,12,34,1,3,1,10.3966582410634
36000,65,2,2,2,15,39,2,1,0,10.4912742174382
6000,62,2,1,2,12,64,3,3,0,8.69951474821019
12000,66,2,2,1,14,34,1,1,0,9.39266192877014
60000,67,1,1,2,14,63,3,3,1,11.0020998412042
40000,64,2,1,2,13,44,2,3,0,10.5966347330961
43000,63,2,1,2,12,38,2,3,0,10.6689553946757
45000,67,2,1,2,16,34,1,3,0,10.7144177687525
6000,68,2,1,2,18,39,2,3,0,8.69951474821019
20000,64,2,2,2,13,39,2,1,0,9.90348755253613
17000,66,1,2,2,12,23,1,1,1,9.74096862303835
2000,65,2,1,2,12,32,1,3,0,7.60090245954208
65000,65,1,1,2,12,28,1,3,1,11.0821425488778
50000,72,1,1,2,12,41,2,3,1,10.8197782844103
11000,68,2,1,2,12,38,2,3,0,9.30565055178051
35000,74,1,1,2,18,30,1,3,1,10.4631033404715
27000,63,1,1,2,12,33,1,3,1,10.2035921449865
3500,64,2,1,2,12,61,3,3,0,8.1605182474775
42000,68,1,1,2,12,37,2,3,1,10.6454248972655
20000,67,2,1,2,18,29,1,3,0,9.90348755253613
15000,67,2,1,2,12,29,1,3,0,9.61580548008435
10000,73,1,1,2,12,21,1,3,1,9.21034037197618
17000,65,2,1,1,16,23,1,2,0,9.74096862303835
28000,77,1,1,2,14,28,1,3,1,10.2399597891573
15000,68,2,1,2,12,33,1,3,0,9.61580548008435
20000,62,2,1,2,17,24,1,3,0,9.90348755253613
20000,64,2,1,2,12,29,1,3,0,9.90348755253613
10500,67,1,3,1,12,42,2,2,1,9.25913053614561
13000,70,1,1,2,16,22,1,3,1,9.47270463644367
10000,62,2,1,2,12,52,3,3,0,9.21034037197618
3000,63,2,1,2,12,37,2,3,0,8.00636756765025
24000,62,2,1,2,14,29,1,3,0,10.0858091093301
17000,69,2,1,2,13,35,2,3,0,9.74096862303835
11000,64,2,1,2,12,48,2,3,0,9.30565055178051
32000,69,2,1,2,14,40,2,3,0,10.3734911817819
17000,59,2,1,2,15,26,1,3,0,9.74096862303835
3000,66,2,4,2,12,35,2,4,0,8.00636756765025
2100,62,2,2,2,12,21,1,1,0,7.64969262371151
3192,75,1,2,2,11,34,1,1,1,8.0684029585697
17000,63,2,1,2,17,26,1,3,0,9.74096862303835
30000,65,2,1,2,13,28,1,3,0,10.3089526606443
15000,70,1,1,2,12,32,1,3,1,9.61580548008435
24000,68,2,1,2,16,42,2,3,0,10.0858091093301
50000,69,1,1,2,8,53,3,3,1,10.8197782844103
50000,72,1,1,2,16,53,3,3,1,10.8197782844103
20000,64,2,1,2,17,49,2,3,0,9.90348755253613
30000,63,2,1,1,18,54,3,2,0,10.3089526606443
22000,73,2,1,2,14,45,2,3,0,9.99879773234045
27000,75,1,1,2,12,24,1,3,1,10.2035921449865
4000,65,2,1,2,12,38,2,3,0,8.29404964010203
17500,66,2,1,2,17,26,1,3,0,9.76995615991161
16500,66,2,1,2,14,28,1,3,0,9.71111565988867
28000,64,2,1,2,16,39,2,3,0,10.2399597891573
52000,66,2,1,2,18,50,3,3,0,10.8589989975636
15000,64,2,1,2,16,29,1,3,0,9.61580548008435
19000,63,2,1,2,13,32,1,3,0,9.85219425814858
27000,73,1,1,2,12,23,1,3,1,10.2035921449865
15000,72,1,1,2,8,58,3,3,1,9.61580548008435
15000,72,1,1,2,14,33,1,3,1,9.61580548008435
14500,64,2,1,2,12,55,3,3,0,9.58190392840867
24000,64,2,1,2,13,30,1,3,0,10.0858091093301
18000,68,1,1,2,15,36,2,3,1,9.7981270368783
4000,69,2,1,2,13,57,3,3,0,8.29404964010203
700,60,2,1,2,12,36,2,3,0,6.5510803350434
27000,76,1,1,2,12,39,2,3,1,10.2035921449865
12000,72,2,1,2,12,35,2,3,0,9.39266192877014
22000,62,2,1,2,18,47,2,3,0,9.99879773234045
30000,62,2,1,2,13,36,2,3,0,10.3089526606443
35000,71,1,1,2,12,61,3,3,1,10.4631033404715
20000,74,1,1,2,12,42,2,3,1,9.90348755253613
32000,65,2,1,2,16,32,1,3,0,10.3734911817819
6000,63,2,4,2,12,31,1,4,0,8.69951474821019
12000,67,2,1,2,12,39,2,3,0,9.39266192877014
10000,63,2,1,2,12,31,1,3,0,9.21034037197618
1000,65,2,1,2,12,18,1,3,0,6.90775527898214
16000,65,2,1,2,12,36,2,3,0,9.68034400122192
25000,63,2,1,2,16,33,1,3,0,10.1266311038503
25000,70,2,1,2,12,27,1,3,0,10.1266311038503
32000,68,1,1,2,12,30,1,3,1,10.3734911817819
35000,67,1,1,2,14,43,2,3,1,10.4631033404715
6000,65,2,1,2,12,28,1,3,0,8.69951474821019
80000,69,1,1,2,14,44,2,3,1,11.289781913656
20000,68,2,1,2,14,25,1,3,0,9.90348755253613
1000,66,2,1,2,17,38,2,3,0,6.90775527898214
28000,71,1,1,1,13,38,2,2,1,10.2399597891573
26000,64,1,1,1,16,23,1,2,1,10.1658518170036
27000,74,1,1,2,12,24,1,3,1,10.2035921449865
18000,62,2,1,2,13,41,2,3,0,9.7981270368783
2000,65,2,1,2,12,59,3,3,0,7.60090245954208
6000,66,2,1,2,16,48,2,3,0,8.69951474821019
25000,67,1,1,2,11,63,3,3,1,10.1266311038503
12000,73,1,1,2,12,29,1,3,1,9.39266192877014
12000,76,1,1,2,12,57,3,3,1,9.39266192877014
4000,63,2,2,2,15,22,1,1,0,8.29404964010203
26000,63,2,2,2,13,37,2,1,0,10.1658518170036
23000,70,1,2,2,12,35,2,1,1,10.0432494949113
21000,71,1,1,2,12,33,1,3,1,9.95227771670556
25000,65,2,1,2,12,62,3,3,0,10.1266311038503
4000,63,2,1,2,13,44,2,3,0,8.29404964010203
23900,64,2,1,2,12,22,1,3,0,10.0816337379196
35000,64,2,1,2,18,40,2,3,0,10.4631033404715
26000,67,1,1,2,14,30,1,3,1,10.1658518170036
25000,66,1,1,2,16,36,2,3,1,10.1266311038503
23500,68,2,1,2,13,27,1,3,0,10.0647557001323
12000,65,2,1,2,12,22,1,3,0,9.39266192877014
15000,67,2,1,2,12,20,1,3,0,9.61580548008435
3000,73,1,1,2,17,23,1,3,1,8.00636756765025
15000,63,2,1,2,16,31,1,3,0,9.61580548008435
175000,71,1,1,2,16,48,2,3,1,12.0725412529057
1000,73,1,1,2,18,25,1,3,1,6.90775527898214
10000,65,2,1,2,14,63,3,3,0,9.21034037197618
20000,59,2,1,2,13,41,2,3,0,9.90348755253613
35000,70,1,1,2,16,30,1,3,1,10.4631033404715
40000,72,1,1,2,16,28,1,3,1,10.5966347330961
50000,66,2,1,2,16,54,3,3,0,10.8197782844103
1e+05,70,1,1,2,18,57,3,3,1,11.5129254649702
35000,69,1,1,2,13,28,1,3,1,10.4631033404715
24000,68,2,1,2,12,35,2,3,0,10.0858091093301
35000,74,1,1,2,17,43,2,3,1,10.4631033404715
30000,67,1,1,2,12,52,3,3,1,10.3089526606443
5000,64,2,1,1,12,39,2,2,0,8.51719319141624
148000,67,1,1,2,18,38,2,3,1,11.9049675527463
30000,70,1,1,2,12,32,1,3,1,10.3089526606443
6500,64,2,1,2,15,31,1,3,0,8.77955745588373
3000,62,2,1,2,16,37,2,3,0,8.00636756765025
40000,68,1,1,2,17,41,2,3,1,10.5966347330961
30000,72,1,1,2,14,39,2,3,1,10.3089526606443
14000,63,2,1,2,12,37,2,3,0,9.5468126085974
15000,69,2,1,2,12,34,1,3,0,9.61580548008435
26000,64,2,1,2,18,36,2,3,0,10.1658518170036
8000,71,2,1,2,12,25,1,3,0,8.98719682066197
24000,64,2,2,2,16,27,1,1,0,10.0858091093301
10000,61,2,1,2,15,25,1,3,0,9.21034037197618
12000,68,2,1,2,16,32,1,3,0,9.39266192877014
50000,68,1,1,2,17,34,1,3,1,10.8197782844103
23000,64,2,1,2,13,26,1,3,0,10.0432494949113
40000,66,1,2,2,14,34,1,1,1,10.5966347330961
6000,62,2,2,2,13,26,1,1,0,8.69951474821019
5000,65,2,2,2,16,30,1,1,0,8.51719319141624
110000,66,1,1,2,18,37,2,3,1,11.6082356447746
41000,72,1,1,1,13,32,1,2,1,10.6213273456864
21000,70,1,1,2,12,23,1,3,1,9.95227771670556
4000,62,2,1,2,12,29,1,3,0,8.29404964010203
25000,71,1,1,2,12,36,2,3,1,10.1266311038503
30000,70,1,1,2,18,46,2,3,1,10.3089526606443
14000,64,2,1,2,11,51,3,3,0,9.5468126085974
6000,63,2,1,2,12,35,2,3,0,8.69951474821019
14000,65,2,1,2,12,46,2,3,0,9.5468126085974
43000,71,1,1,2,12,27,1,3,1,10.6689553946757
25000,62,2,1,2,15,33,1,3,0,10.1266311038503
65000,68,1,1,2,17,40,2,3,1,11.0821425488778
16000,76,1,1,2,15,32,1,3,1,9.68034400122192
20000,64,2,1,2,15,39,2,3,0,9.90348755253613
12000,66,1,1,2,12,28,1,3,1,9.39266192877014
8000,63,2,1,2,14,31,1,3,0,8.98719682066197
16000,63,2,1,2,15,32,1,3,0,9.68034400122192
19000,70,1,1,2,12,32,1,3,1,9.85219425814858
21000,68,2,1,2,13,39,2,3,0,9.95227771670556
43000,70,2,1,2,18,46,2,3,0,10.6689553946757
35000,69,1,1,2,15,21,1,3,1,10.4631033404715
21000,63,2,1,2,14,41,2,3,0,9.95227771670556
5800,65,2,1,2,12,30,1,3,0,8.66561319653451
17000,69,1,1,2,12,46,2,3,1,9.74096862303835
24000,68,1,1,2,14,49,2,3,1,10.0858091093301
11000,66,2,1,2,12,23,1,3,0,9.30565055178051
10000,65,1,1,2,13,27,1,3,1,9.21034037197618
40000,70,1,1,2,14,36,2,3,1,10.5966347330961
40000,70,1,1,2,12,47,2,3,1,10.5966347330961
24000,66,2,2,2,14,29,1,1,0,10.0858091093301
24000,68,1,1,2,16,26,1,3,1,10.0858091093301
20000,68,1,1,2,16,33,1,3,1,9.90348755253613
60000,70,1,1,2,18,50,3,3,1,11.0020998412042
11000,65,2,1,2,13,47,2,3,0,9.30565055178051
5000,64,2,1,2,15,40,2,3,0,8.51719319141624
27000,65,2,1,2,16,30,1,3,0,10.2035921449865
89000,77,1,1,2,16,41,2,3,1,11.3963916487143
40000,70,1,1,2,14,28,1,3,1,10.5966347330961
15000,64,2,1,2,16,26,1,3,0,9.61580548008435
1000,64,2,1,2,14,20,1,3,0,6.90775527898214
22000,64,2,1,2,12,60,3,3,0,9.99879773234045
12000,64,2,1,2,8,48,2,3,0,9.39266192877014
22000,63,2,1,2,16,28,1,3,0,9.99879773234045
40000,58,2,2,2,12,56,3,1,0,10.5966347330961
40000,62,2,1,2,16,44,2,3,0,10.5966347330961
35000,64,2,1,1,14,53,3,2,0,10.4631033404715
7000,64,2,1,2,12,28,1,3,0,8.85366542803745
14000,62,2,1,2,12,37,2,3,0,9.5468126085974
15000,64,2,1,2,12,56,3,3,0,9.61580548008435
6000,66,2,1,2,13,34,1,3,0,8.69951474821019
11000,69,2,2,2,12,41,2,1,0,9.30565055178051
10000,64,2,1,2,13,31,1,3,0,9.21034037197618
20000,71,1,1,2,14,41,2,3,1,9.90348755253613
38000,68,1,1,2,9,46,2,3,1,10.5453414387085
29000,68,1,1,2,9,58,3,3,1,10.2750511089686
20000,62,2,1,2,10,44,2,3,0,9.90348755253613
8000,63,2,1,2,12,57,3,3,0,8.98719682066197
36000,69,1,1,2,16,51,3,3,1,10.4912742174382
1500,67,2,1,2,12,44,2,3,0,7.3132203870903
42000,64,2,1,2,18,29,1,3,0,10.6454248972655
25000,70,1,1,2,12,22,1,3,1,10.1266311038503
13000,69,1,1,2,10,20,1,3,1,9.47270463644367
30000,69,1,2,2,11,51,3,1,1,10.3089526606443
7000,69,1,1,2,12,23,1,3,1,8.85366542803745
31000,60,2,2,2,12,48,2,1,0,10.3417424834673
15000,66,2,2,2,12,42,2,1,0,9.61580548008435
50000,67,1,1,2,16,49,2,3,1,10.8197782844103
5000,66,1,1,2,15,20,1,3,1,8.51719319141624
600,70,2,2,2,12,18,1,1,0,6.39692965521615
14000,64,2,2,2,8,51,3,1,0,9.5468126085974
40000,60,2,3,2,18,35,2,4,0,10.5966347330961
24000,68,1,1,2,18,36,2,3,1,10.0858091093301
22000,73,1,2,2,12,24,1,1,1,9.99879773234045
20000,72,1,1,2,8,36,2,3,1,9.90348755253613
20112,64,2,1,2,12,38,2,3,0,9.90907193083003
41000,67,2,1,2,13,40,2,3,0,10.6213273456864
13000,71,1,2,2,9,50,3,1,1,9.47270463644367
60000,73,1,1,2,16,31,1,3,1,11.0020998412042
24000,70,1,1,2,16,25,1,3,1,10.0858091093301
38000,70,1,1,2,16,36,2,3,1,10.5453414387085
3000,71,2,1,2,14,27,1,3,0,8.00636756765025
13000,66,2,1,2,12,30,1,3,0,9.47270463644367
5000,75,1,1,2,12,21,1,3,1,8.51719319141624
20000,60,2,1,2,14,37,2,3,0,9.90348755253613
22000,72,1,1,2,12,28,1,3,1,9.99879773234045
28000,75,1,2,2,9,55,3,1,1,10.2399597891573
22000,60,2,1,2,12,41,2,3,0,9.99879773234045
30000,73,1,2,2,12,44,2,1,1,10.3089526606443
30000,65,2,2,2,12,32,1,1,0,10.3089526606443
30000,67,1,1,2,16,31,1,3,1,10.3089526606443
26000,69,2,1,2,17,43,2,3,0,10.1658518170036
22000,64,2,1,2,14,34,1,3,0,9.99879773234045
25000,70,1,1,2,12,33,1,3,1,10.1266311038503
11000,68,2,1,2,10,24,1,3,0,9.30565055178051
13000,62,2,1,2,12,53,3,3,0,9.47270463644367
10000,64,2,1,2,15,42,2,3,0,9.21034037197618
12000,68,2,1,2,12,45,2,3,0,9.39266192877014
7000,64,2,1,2,11,64,3,3,0,8.85366542803745
57000,73,1,1,2,14,37,2,3,1,10.9508065468167
36000,73,1,1,2,16,37,2,3,1,10.4912742174382
29000,69,1,1,1,14,29,1,2,1,10.2750511089686
8000,68,2,1,2,13,19,1,3,0,8.98719682066197
3000,71,1,2,2,11,18,1,1,1,8.00636756765025
20000,66,2,1,2,16,41,2,3,0,9.90348755253613
33000,66,1,1,2,12,57,3,3,1,10.4042628404486
16000,70,1,1,2,12,33,1,3,1,9.68034400122192
8000,66,2,1,2,14,43,2,3,0,8.98719682066197
32000,63,2,2,2,16,34,1,1,0,10.3734911817819
14500,75,1,1,2,12,24,1,3,1,9.58190392840867
13000,67,2,1,2,12,29,1,3,0,9.47270463644367
7000,63,2,1,2,9,25,1,3,0,8.85366542803745
12000,69,2,2,2,12,35,2,1,0,9.39266192877014
19000,71,1,1,2,14,61,3,3,1,9.85219425814858
9000,62,2,1,2,12,55,3,3,0,9.10497985631836
20000,65,2,2,2,12,35,2,1,0,9.90348755253613
55000,72,1,1,1,18,35,2,2,1,10.9150884642146
10000,65,2,1,2,12,40,2,3,0,9.21034037197618
13000,63,2,1,2,12,19,1,3,0,9.47270463644367
20000,64,2,1,2,13,31,1,3,0,9.90348755253613
30000,72,1,1,2,12,26,1,3,1,10.3089526606443
12000,64,2,1,2,12,34,1,3,0,9.39266192877014
26000,70,2,1,2,13,33,1,3,0,10.1658518170036
12500,65,2,1,2,12,27,1,3,0,9.43348392329039
8000,64,2,1,2,12,29,1,3,0,8.98719682066197
15000,64,2,1,1,16,32,1,2,0,9.61580548008435
65000,67,1,1,2,14,25,1,3,1,11.0821425488778
25000,73,1,1,2,10,21,1,3,1,10.1266311038503
8000,73,1,1,1,14,21,1,2,1,8.98719682066197
15000,65,1,3,2,14,21,1,4,1,9.61580548008435
12000,64,2,1,2,16,40,2,3,0,9.39266192877014
35000,67,2,2,2,13,37,2,1,0,10.4631033404715
40000,67,1,1,2,16,31,1,3,1,10.5966347330961
29000,74,1,1,2,12,22,1,3,1,10.2750511089686
15000,63,2,1,2,13,31,1,3,0,9.61580548008435
20000,74,1,1,2,12,36,2,3,1,9.90348755253613
3000,74,1,2,2,6,62,3,1,1,8.00636756765025
1000,63,2,2,2,16,19,1,1,0,6.90775527898214
8000,62,2,2,2,11,23,1,1,0,8.98719682066197
5000,62,2,1,2,12,18,1,3,0,8.51719319141624
25000,67,2,1,2,16,27,1,3,0,10.1266311038503
20000,69,1,1,2,12,57,3,3,1,9.90348755253613
30000,73,1,1,2,12,34,1,3,1,10.3089526606443
12000,63,2,1,2,12,35,2,3,0,9.39266192877014
